## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2025-06-21T19:56:45.009Z  / File Creation Date = Date for Citation
#CITATION1: "Ocean Networks Canada Society. 2016. Cambridge Bay Acoustic Doppler Current Profiler 1200 kHz Deployed 2016-08-25. Ocean Networks Canada Society. https://doi.org/10.34943/29555375-3acd-4630-a118-cb0b57d6dcc6. Subset Query: 31177912. Accessed 2025-06-21."  / Citation Title
#CITATION2: "Ocean Networks Canada Society. 2017. Cambridge Bay Acoustic Doppler Current Profiler 1200 kHz Deployed 2017-09-14. Ocean Networks Canada Society. https://doi.org/10.34943/1d65cde6-070a-4bc5-97ab-08cb3a3e12cd. Subset Query: 31177911. Accessed 2025-06-21."  / Citation Title
#METADATF:  CambridgeBay_UnderwaterNetwork_AcousticDopplerCurrentProfiler1200kHz_Pitch_20160825T234500Z_20180723T163000Z-NaN_clean_avg15minute_CSV_META.xml  / Metadata file name
#SEARCHID:  50649297                             / DMAS Search ID from Oceans3.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Arctic-CambridgeBay-UnderwaterNetwork  / Station Name 
#STNCODE:   CBYIP                                / Station Code 
#LATITUDE:     69.113117                         / Latitude North
#LONGITUDE:  -105.064083                         / Longitude East
#DEPTH:         9.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DEVCAT: Acoustic Doppler Current Profiler 1200 kHz  / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2016-08-25T22:24:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "RDI Workhorse Monitor ADCP 1200 kHz (9111)"  / Device Name of Device 1
#DEVCODE1:  RDIADCP1200WH9111                    / Device Code of Device 1
#DEVID1:    20001                                / Device ID of Device 1
#
#DEPLDATE2: 2017-09-14T23:22:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "RDI Workhorse Monitor ADCP 1200 kHz (9111)"  / Device Name of Device 2
#DEVCODE2:  RDIADCP1200WH9111                    / Device Code of Device 2
#DEVID2:    20001                                / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DATEFROM:  2016-08-25T23:45:00.000Z             / Data Start Time
#DATETO:    2018-07-23T16:30:00.000Z             / Data End Time
#PERIODTOT: 2                                    / Number of Sample Periods
#PERIODST1: 2016-07-18T19:07:35.000Z             / Sample Period 1 Start Time
#PERIOD1:   2                                    / Sensor Sample Period 1 (s)
#PERIODST2: 2016-10-04T22:30:23.000Z             / Sample Period 2 Start Time
#PERIOD2:   1                                    / Sensor Sample Period 2 (s)
#RESAMPPRD: 900                                  / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 59263                                / Samples in File
#TOTSMPEXP: 66883                                / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Pitch (deg)", "Pitch QC Flag", "Pitch Count"
## END HEADER
2016-08-25T23:52:30.000Z, 6.385980392, 7, 204
2016-08-26T00:07:30.000Z, 6.416022222, 7, 450
2016-08-26T00:22:30.000Z, 6.452933333, 7, 450
2016-08-26T00:37:30.000Z, 6.463644444, 7, 450
2016-08-26T00:52:30.000Z, 6.475222222, 7, 450
2016-08-26T01:07:30.000Z, 6.494022222, 7, 450
2016-08-26T01:22:30.000Z, 6.504733333, 7, 450
2016-08-26T01:37:30.000Z, 6.508111111, 7, 450
2016-08-26T01:52:30.000Z, 6.517244444, 7, 450
2016-08-26T02:07:30.000Z, 6.528666667, 7, 450
2016-08-26T02:22:30.000Z, 6.534844444, 7, 450
2016-08-26T02:37:30.000Z, 6.540955556, 7, 450
2016-08-26T02:52:30.000Z, 6.553311111, 7, 450
2016-08-26T03:07:30.000Z, 6.556488889, 7, 450
2016-08-26T03:22:30.000Z, 6.5606, 7, 450
2016-08-26T03:37:30.000Z, 6.566377778, 7, 450
2016-08-26T03:52:30.000Z, 6.573377778, 7, 450
2016-08-26T04:07:30.000Z, 6.578822222, 7, 450
2016-08-26T04:22:30.000Z, 6.585844444, 7, 450
2016-08-26T04:37:30.000Z, 6.592333333, 7, 450
2016-08-26T04:52:30.000Z, 6.599111111, 7, 450
2016-08-26T05:07:30.000Z, 6.604688889, 7, 450
2016-08-26T05:22:30.000Z, 6.612, 7, 450
2016-08-26T05:37:30.000Z, 6.617555556, 7, 450
2016-08-26T05:52:30.000Z, 6.623511111, 7, 450
2016-08-26T06:07:30.000Z, 6.628244444, 7, 450
2016-08-26T06:22:30.000Z, 6.635155556, 7, 450
2016-08-26T06:37:30.000Z, 6.6402, 7, 450
2016-08-26T06:52:30.000Z, 6.646844444, 7, 450
2016-08-26T07:07:30.000Z, 6.6528, 7, 450
2016-08-26T07:22:30.000Z, 6.659444444, 7, 450
2016-08-26T07:37:30.000Z, 6.664155556, 7, 450
2016-08-26T07:52:30.000Z, 6.671133333, 7, 450
2016-08-26T08:07:30.000Z, 6.6792, 7, 450
2016-08-26T08:22:30.000Z, 6.685377778, 7, 450
2016-08-26T08:37:30.000Z, 6.691888889, 7, 450
2016-08-26T08:52:30.000Z, 6.699443207, 7, 449
2016-08-26T09:07:30.000Z, 6.704656319, 7, 451
2016-08-26T09:22:30.000Z, 6.711488889, 7, 450
2016-08-26T09:37:30.000Z, 6.717955556, 7, 450
2016-08-26T09:52:30.000Z, 6.724355556, 7, 450
2016-08-26T10:07:30.000Z, 6.731177778, 7, 450
2016-08-26T10:22:30.000Z, 6.738266667, 7, 450
2016-08-26T10:37:30.000Z, 6.746244444, 7, 450
2016-08-26T10:52:30.000Z, 6.753022222, 7, 450
2016-08-26T11:07:30.000Z, 6.759422222, 7, 450
2016-08-26T11:22:30.000Z, 6.766044444, 7, 450
2016-08-26T11:37:30.000Z, 6.773866667, 7, 450
2016-08-26T11:52:30.000Z, 6.7804, 7, 450
2016-08-26T12:07:30.000Z, 6.786866667, 7, 450
2016-08-26T12:22:30.000Z, 6.795022222, 7, 450
2016-08-26T12:37:30.000Z, 6.803, 7, 450
2016-08-26T12:52:30.000Z, 6.809622222, 7, 450
2016-08-26T13:07:30.000Z, 6.816644444, 7, 450
2016-08-26T13:22:30.000Z, 6.825911111, 7, 450
2016-08-26T13:37:30.000Z, 6.7492, 7, 450
2016-08-26T13:52:30.000Z, 6.749155556, 7, 450
2016-08-26T14:07:30.000Z, 6.757088889, 7, 450
2016-08-26T14:22:30.000Z, 6.765333333, 7, 450
2016-08-26T14:37:30.000Z, 6.772244444, 7, 450
2016-08-26T14:52:30.000Z, 6.779444444, 7, 450
2016-08-26T15:07:30.000Z, 6.788044444, 7, 450
2016-08-26T15:22:30.000Z, 6.7966, 7, 450
2016-08-26T15:37:30.000Z, 6.805177778, 7, 450
2016-08-26T15:52:30.000Z, 6.813377778, 7, 450
2016-08-26T16:07:30.000Z, 6.820466667, 7, 450
2016-08-26T16:22:30.000Z, 6.826666667, 7, 450
