## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2025-06-21T19:56:47.547Z  / File Creation Date = Date for Citation
#CITATION1: "Ocean Networks Canada Society. 2016. Cambridge Bay Acoustic Doppler Current Profiler 1200 kHz Deployed 2016-08-25. Ocean Networks Canada Society. https://doi.org/10.34943/29555375-3acd-4630-a118-cb0b57d6dcc6. Subset Query: 31177916. Accessed 2025-06-21."  / Citation Title
#CITATION2: "Ocean Networks Canada Society. 2017. Cambridge Bay Acoustic Doppler Current Profiler 1200 kHz Deployed 2017-09-14. Ocean Networks Canada Society. https://doi.org/10.34943/1d65cde6-070a-4bc5-97ab-08cb3a3e12cd. Subset Query: 31177915. Accessed 2025-06-21."  / Citation Title
#METADATF:  CambridgeBay_UnderwaterNetwork_AcousticDopplerCurrentProfiler1200kHz_Temperature_20160825T234500Z_20180723T163000Z-NaN_clean_avg15minute_CSV_META.xml  / Metadata file name
#SEARCHID:  50649299                             / DMAS Search ID from Oceans3.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Arctic-CambridgeBay-UnderwaterNetwork  / Station Name 
#STNCODE:   CBYIP                                / Station Code 
#LATITUDE:     69.113117                         / Latitude North
#LONGITUDE:  -105.064083                         / Longitude East
#DEPTH:         9.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DEVCAT: Acoustic Doppler Current Profiler 1200 kHz  / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2016-08-25T22:24:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "RDI Workhorse Monitor ADCP 1200 kHz (9111)"  / Device Name of Device 1
#DEVCODE1:  RDIADCP1200WH9111                    / Device Code of Device 1
#DEVID1:    20001                                / Device ID of Device 1
#
#DEPLDATE2: 2017-09-14T23:22:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "RDI Workhorse Monitor ADCP 1200 kHz (9111)"  / Device Name of Device 2
#DEVCODE2:  RDIADCP1200WH9111                    / Device Code of Device 2
#DEVID2:    20001                                / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DATEFROM:  2016-08-25T23:45:00.000Z             / Data Start Time
#DATETO:    2018-07-23T16:30:00.000Z             / Data End Time
#PERIODTOT: 2                                    / Number of Sample Periods
#PERIODST1: 2016-07-18T19:07:35.000Z             / Sample Period 1 Start Time
#PERIOD1:   2                                    / Sensor Sample Period 1 (s)
#PERIODST2: 2016-10-04T22:30:23.000Z             / Sample Period 2 Start Time
#PERIOD2:   1                                    / Sensor Sample Period 2 (s)
#RESAMPPRD: 900                                  / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 57397                                / Samples in File
#TOTSMPEXP: 66883                                / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Temperature (C)", "Temperature QC Flag", "Temperature Count"
## END HEADER
2016-08-25T23:52:30.000Z, NaN, 6, 204
2016-08-26T00:07:30.000Z, 8.492511111, 7, 450
2016-08-26T00:22:30.000Z, 8.196288889, 7, 450
2016-08-26T00:37:30.000Z, 8.562511111, 7, 450
2016-08-26T00:52:30.000Z, 8.551955556, 7, 450
2016-08-26T01:07:30.000Z, 8.239288889, 7, 450
2016-08-26T01:22:30.000Z, 8.4908, 7, 450
2016-08-26T01:37:30.000Z, 8.544488889, 7, 450
2016-08-26T01:52:30.000Z, 8.539177778, 7, 450
2016-08-26T02:07:30.000Z, 8.519444444, 7, 450
2016-08-26T02:22:30.000Z, 8.587644444, 7, 450
2016-08-26T02:37:30.000Z, 8.600622222, 7, 450
2016-08-26T02:52:30.000Z, 8.512133333, 7, 450
2016-08-26T03:07:30.000Z, 8.593533333, 7, 450
2016-08-26T03:22:30.000Z, 8.610355556, 7, 450
2016-08-26T03:37:30.000Z, 8.612577778, 7, 450
2016-08-26T03:52:30.000Z, 8.595955556, 7, 450
2016-08-26T04:07:30.000Z, 8.621511111, 7, 450
2016-08-26T04:22:30.000Z, 8.618066667, 7, 450
2016-08-26T04:37:30.000Z, 8.597977778, 7, 450
2016-08-26T04:52:30.000Z, 8.6058, 7, 450
2016-08-26T05:07:30.000Z, 8.612844444, 7, 450
2016-08-26T05:22:30.000Z, 8.5706, 7, 450
2016-08-26T05:37:30.000Z, 8.552266667, 7, 450
2016-08-26T05:52:30.000Z, 8.557333333, 7, 450
2016-08-26T06:07:30.000Z, 8.559533333, 7, 450
2016-08-26T06:22:30.000Z, 8.538, 7, 450
2016-08-26T06:37:30.000Z, 8.544933333, 7, 450
2016-08-26T06:52:30.000Z, 8.546644444, 7, 450
2016-08-26T07:07:30.000Z, 8.547222222, 7, 450
2016-08-26T07:22:30.000Z, 8.590755556, 7, 450
2016-08-26T07:37:30.000Z, 8.659422222, 7, 450
2016-08-26T07:52:30.000Z, 8.651822222, 7, 450
2016-08-26T08:07:30.000Z, 8.587177778, 7, 450
2016-08-26T08:22:30.000Z, 8.598377778, 7, 450
2016-08-26T08:37:30.000Z, 8.591977778, 7, 450
2016-08-26T08:52:30.000Z, 8.59155902, 7, 449
2016-08-26T09:07:30.000Z, 8.608314856, 7, 451
2016-08-26T09:22:30.000Z, 8.617866667, 7, 450
2016-08-26T09:37:30.000Z, 8.617266667, 7, 450
2016-08-26T09:52:30.000Z, 8.642977778, 7, 450
2016-08-26T10:07:30.000Z, 8.665088889, 7, 450
2016-08-26T10:22:30.000Z, 8.674666667, 7, 450
2016-08-26T10:37:30.000Z, 8.649555556, 7, 450
2016-08-26T10:52:30.000Z, 8.602755556, 7, 450
2016-08-26T11:07:30.000Z, 8.602977778, 7, 450
2016-08-26T11:22:30.000Z, 8.587044444, 7, 450
2016-08-26T11:37:30.000Z, 8.5938, 7, 450
2016-08-26T11:52:30.000Z, 8.602088889, 7, 450
2016-08-26T12:07:30.000Z, 8.603866667, 7, 450
2016-08-26T12:22:30.000Z, 8.627133333, 7, 450
2016-08-26T12:37:30.000Z, 8.614511111, 7, 450
2016-08-26T12:52:30.000Z, 8.656533333, 7, 450
2016-08-26T13:07:30.000Z, 8.678244444, 7, 450
2016-08-26T13:22:30.000Z, 8.695422222, 7, 450
2016-08-26T13:37:30.000Z, 8.6916, 7, 450
2016-08-26T13:52:30.000Z, 8.697266667, 7, 450
2016-08-26T14:07:30.000Z, 8.716711111, 7, 450
2016-08-26T14:22:30.000Z, 8.763933333, 7, 450
2016-08-26T14:37:30.000Z, 8.868066667, 7, 450
2016-08-26T14:52:30.000Z, 8.860177778, 7, 450
2016-08-26T15:07:30.000Z, 8.779933333, 7, 450
2016-08-26T15:22:30.000Z, 8.717933333, 7, 450
2016-08-26T15:37:30.000Z, 8.722444444, 7, 450
2016-08-26T15:52:30.000Z, 8.720911111, 7, 450
2016-08-26T16:07:30.000Z, 8.756066667, 7, 450
2016-08-26T16:22:30.000Z, 8.6912, 7, 450
