## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2025-06-19T00:57:12.949Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Society. 2024. Cambridge Bay Conductivity Temperature Depth Deployed 2024-08-29. Ocean Networks Canada Society. https://doi.org/10.34943/83c71dca-11d5-41f4-81c1-fa03bfb1f4a8. Subset Query: 31142684. Accessed 2025-06-19."  / Citation Title
#METADATF:  CambridgeBay_UnderwaterNetwork_ConductivityTemperatureDepth_Depth_20240830T160000Z_20250618T050000Z-NaN_clean_avg1hour_CSV_META.xml  / Metadata file name
#SEARCHID:  50611363                             / DMAS Search ID from Oceans3.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Arctic-CambridgeBay-UnderwaterNetwork  / Station Name 
#STNCODE:   CBYIP                                / Station Code 
#LATITUDE:     69.113000                         / Latitude North
#LONGITUDE:  -105.064500                         / Longitude East
#DEPTH:         9.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    1  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2024-08-29T17:11:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE19plus V2 7128"   / Device Name of Device 1
#DEVCODE1:  SBECTD19p7128                        / Device Code of Device 1
#DEVID1:    23830                                / Device ID of Device 1
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DATEFROM:  2024-08-30T16:00:00.000Z             / Data Start Time
#DATETO:    2025-06-18T05:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2024-03-19T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 5758                                 / Samples in File
#TOTSMPEXP: 6997                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Depth (m)", "Depth QC Flag", "Depth Count"
## END HEADER
2024-08-30T16:30:00.000Z, NaN, 6, 706
2024-08-30T17:30:00.000Z, 9.679994444, 7, 3600
2024-08-30T18:30:00.000Z, 9.605283333, 7, 3600
2024-08-30T19:30:00.000Z, 9.510792466, 7, 2814
2024-08-30T20:30:00.000Z, 9.417453306, 7, 3373
2024-08-30T21:30:00.000Z, 9.350141667, 7, 3600
2024-08-30T22:30:00.000Z, 9.323458333, 7, 3600
2024-08-30T23:30:00.000Z, 9.31695, 7, 3600
2024-08-31T00:30:00.000Z, 9.353138889, 7, 3600
2024-08-31T01:30:00.000Z, 9.416975, 7, 3600
2024-08-31T02:30:00.000Z, 9.492575, 7, 3600
2024-08-31T03:30:00.000Z, 9.567702778, 7, 3600
2024-08-31T04:30:00.000Z, 9.610266667, 7, 3600
2024-08-31T05:30:00.000Z, 9.639916667, 7, 3600
2024-08-31T06:30:00.000Z, 9.622430556, 7, 3600
2024-08-31T07:30:00.000Z, 9.57035, 7, 3600
2024-08-31T08:30:00.000Z, 9.490005556, 7, 3600
2024-08-31T09:30:00.000Z, 9.466241667, 7, 3600
2024-08-31T10:30:00.000Z, 9.444952778, 7, 3600
2024-08-31T11:30:00.000Z, 9.46825, 7, 3600
2024-08-31T12:30:00.000Z, 9.524616667, 7, 3600
2024-08-31T13:30:00.000Z, 9.607922222, 7, 3600
2024-08-31T14:30:00.000Z, 9.717227791, 7, 2893
2024-08-31T15:30:00.000Z, 9.806086111, 7, 3600
2024-08-31T16:30:00.000Z, 9.895388889, 7, 3600
2024-08-31T17:30:00.000Z, 9.908527778, 7, 3600
2024-08-31T18:30:00.000Z, 9.865619444, 7, 3600
2024-08-31T19:30:00.000Z, 9.759813889, 7, 3600
2024-08-31T20:30:00.000Z, 9.645780556, 7, 3600
2024-08-31T21:30:00.000Z, 9.522436111, 7, 3600
2024-08-31T22:30:00.000Z, 9.439077778, 7, 3600
2024-08-31T23:30:00.000Z, 9.383269444, 7, 3600
2024-09-01T00:30:00.000Z, 9.364488889, 7, 3600
2024-09-01T01:30:00.000Z, 9.393955556, 7, 3600
2024-09-01T02:30:00.000Z, 9.448438889, 7, 3600
2024-09-01T03:30:00.000Z, 9.520561111, 7, 3600
2024-09-01T04:30:00.000Z, 9.589691667, 7, 3600
2024-09-01T05:30:00.000Z, 9.630972222, 7, 3600
2024-09-01T06:30:00.000Z, 9.637219444, 7, 3600
2024-09-01T07:30:00.000Z, 9.602733333, 7, 3600
2024-09-01T08:30:00.000Z, 9.550627778, 7, 3600
2024-09-01T09:30:00.000Z, 9.479127778, 7, 3600
2024-09-01T10:30:00.000Z, 9.430447222, 7, 3600
2024-09-01T11:30:00.000Z, 9.412722222, 7, 3600
2024-09-01T12:30:00.000Z, 9.425405556, 7, 3600
2024-09-01T13:30:00.000Z, 9.483522222, 7, 3600
2024-09-01T14:30:00.000Z, 9.568227778, 7, 3600
2024-09-01T15:30:00.000Z, 9.681197222, 7, 3600
2024-09-01T16:30:00.000Z, 9.761552778, 7, 3600
2024-09-01T17:30:00.000Z, 9.816475, 7, 3600
2024-09-01T18:30:00.000Z, 9.816222222, 7, 3600
2024-09-01T19:30:00.000Z, 9.735197222, 7, 3600
2024-09-01T20:30:00.000Z, 9.620813889, 7, 3600
2024-09-01T21:30:00.000Z, 9.488613889, 7, 3600
2024-09-01T22:30:00.000Z, 9.366330556, 7, 3600
2024-09-01T23:30:00.000Z, 9.282161111, 7, 3600
2024-09-02T00:30:00.000Z, 9.248288889, 7, 3600
2024-09-02T01:30:00.000Z, 9.263383333, 7, 3600
2024-09-02T02:30:00.000Z, 9.320755556, 7, 3600
2024-09-02T03:30:00.000Z, 9.435838889, 7, 3600
2024-09-02T04:30:00.000Z, 9.522927778, 7, 3600
2024-09-02T05:30:00.000Z, 9.602863889, 7, 3600
2024-09-02T06:30:00.000Z, 9.651969444, 7, 3600
2024-09-02T07:30:00.000Z, 9.644102778, 7, 3600
2024-09-02T08:30:00.000Z, 9.595477778, 7, 3600
2024-09-02T09:30:00.000Z, 9.523425, 7, 3600
2024-09-02T10:30:00.000Z, 9.449430556, 7, 3600
2024-09-02T11:30:00.000Z, 9.406352778, 7, 3600
2024-09-02T12:30:00.000Z, 9.383347222, 7, 3600
2024-09-02T13:30:00.000Z, 9.418775, 7, 3600
2024-09-02T14:30:00.000Z, 9.517338889, 7, 3600
2024-09-02T15:30:00.000Z, 9.638833333, 7, 3600
2024-09-02T16:30:00.000Z, 9.759622222, 7, 3600
2024-09-02T17:30:00.000Z, 9.865652778, 7, 3600
2024-09-02T18:30:00.000Z, 9.909775, 7, 3600
2024-09-02T19:30:00.000Z, 9.859913889, 7, 3600
2024-09-02T20:30:00.000Z, 9.764363889, 7, 3600
2024-09-02T21:30:00.000Z, 9.625983333, 7, 3600
2024-09-02T22:30:00.000Z, 9.487722222, 7, 3600
2024-09-02T23:30:00.000Z, 9.372255556, 7, 3600
2024-09-03T00:30:00.000Z, 9.313647222, 7, 3600
2024-09-03T01:30:00.000Z, 9.303802778, 7, 3600
2024-09-03T02:30:00.000Z, 9.343858333, 7, 3600
2024-09-03T03:30:00.000Z, 9.453938889, 7, 3600
2024-09-03T04:30:00.000Z, 9.543475, 7, 3600
2024-09-03T05:30:00.000Z, 9.645575, 7, 3600
2024-09-03T06:30:00.000Z, 9.703294444, 7, 3600
2024-09-03T07:30:00.000Z, 9.716263889, 7, 3600
2024-09-03T08:30:00.000Z, 9.665622222, 7, 3600
2024-09-03T09:30:00.000Z, 9.579983333, 7, 3600
2024-09-03T10:30:00.000Z, 9.486588889, 7, 3600
2024-09-03T11:30:00.000Z, 9.406047222, 7, 3600
2024-09-03T12:30:00.000Z, 9.366661111, 7, 3600
2024-09-03T13:30:00.000Z, 9.3661, 7, 3600
2024-09-03T14:30:00.000Z, 9.429858333, 7, 3600
2024-09-03T15:30:00.000Z, 9.529761111, 7, 3600
2024-09-03T16:30:00.000Z, 9.670888889, 7, 3600
2024-09-03T17:30:00.000Z, 9.79005, 7, 3600
2024-09-03T18:30:00.000Z, 9.876755556, 7, 3600
2024-09-03T19:30:00.000Z, 9.874408333, 7, 3600
2024-09-03T20:30:00.000Z, 9.793313253, 7, 3486
2024-09-03T21:30:00.000Z, 9.659047222, 7, 3600
