## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2025-06-21T19:50:20.178Z  / File Creation Date = Date for Citation
#CITATION1: "Ocean Networks Canada Society. 2022. Cambridge Bay Turbidity Meter Deployed 2022-09-12. Ocean Networks Canada Society. https://doi.org/10.34943/d68320b6-4859-466f-aa2c-baaabdbdfbf7. Subset Query: 31177878. Accessed 2025-06-21."  / Citation Title
#CITATION2: "Ocean Networks Canada Society. 2023. Cambridge Bay Turbidity Meter Deployed 2023-08-01. Ocean Networks Canada Society. https://doi.org/10.34943/8bb17f52-0afb-47a0-aa27-7b936a24fe36. Subset Query: 31177877. Accessed 2025-06-21."  / Citation Title
#CITATION3: "Ocean Networks Canada Society. 2023. Cambridge Bay Turbidity Meter Deployed 2023-08-02. Ocean Networks Canada Society. https://doi.org/10.34943/1521ca37-407f-4231-bbb0-d19107aef805. Subset Query: 31177876. Accessed 2025-06-21."  / Citation Title
#METADATF:  CambridgeBay_UnderwaterNetwork_TurbidityMeter_Turbidity_20220912T163000Z_20240529T140000Z-NaN_clean_avg15minute_CSV_META.xml  / Metadata file name
#SEARCHID:  50649280                             / DMAS Search ID from Oceans3.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Arctic-CambridgeBay-UnderwaterNetwork  / Station Name 
#STNCODE:   CBYIP                                / Station Code 
#LATITUDE:     69.112950                         / Latitude North
#LONGITUDE:  -105.064517                         / Longitude East
#DEPTH:        10.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DEVCAT: Turbidity Meter                         / Device Category
#DEVTOT:    3  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2022-09-12T00:41:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "WET Labs ECO-NTUS 319"               / Device Name of Device 1
#DEVCODE1:  WLNTUS319                            / Device Code of Device 1
#DEVID1:    1302                                 / Device ID of Device 1
#
#DEPLDATE2: 2023-08-01T20:38:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "WET Labs ECO-NTUS 319"               / Device Name of Device 2
#DEVCODE2:  WLNTUS319                            / Device Code of Device 2
#DEVID2:    1302                                 / Device ID of Device 2
#
#DEPLDATE3: 2023-08-02T20:34:00.000Z             / Device 3 Deployment Date
#DEVNAME3: "WET Labs ECO-NTUS 319"               / Device Name of Device 3
#DEVCODE3:  WLNTUS319                            / Device Code of Device 3
#DEVID3:    1302                                 / Device ID of Device 3
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DATEFROM:  2022-09-12T16:30:00.000Z             / Data Start Time
#DATETO:    2024-05-29T14:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2013-06-14T16:32:42.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#RESAMPPRD: 900                                  / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 55367                                / Samples in File
#TOTSMPEXP: 59990                                / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Turbidity (NTU)", "Turbidity QC Flag", "Turbidity Count"
## END HEADER
2022-09-12T16:37:30.000Z, NaN, 6, 183
2022-09-12T16:52:30.000Z, 0.247874413, 7, 895
2022-09-12T17:07:30.000Z, 0.214266145, 7, 895
2022-09-12T17:22:30.000Z, 0.198314637, 7, 895
2022-09-12T17:37:30.000Z, 0.201889709, 7, 894
2022-09-12T17:52:30.000Z, 0.203760806, 7, 893
2022-09-12T18:07:30.000Z, 0.241332291, 7, 895
2022-09-12T18:22:30.000Z, 0.201262128, 7, 705
2022-09-12T18:37:30.000Z, 0.201027933, 7, 895
2022-09-12T18:52:30.000Z, 0.208034899, 7, 894
2022-09-12T19:07:30.000Z, 0.215942665, 7, 893
2022-09-12T19:22:30.000Z, 0.23297743, 7, 895
2022-09-12T19:37:30.000Z, 0.233338393, 7, 896
2022-09-12T19:52:30.000Z, 0.213802013, 7, 894
2022-09-12T20:07:30.000Z, 0.205149608, 7, 893
2022-09-12T20:22:30.000Z, 0.194238031, 7, 894
2022-09-12T20:37:30.000Z, 0.214568268, 7, 895
2022-09-12T20:52:30.000Z, 0.205035241, 7, 891
2022-09-12T21:07:30.000Z, 0.174553086, 7, 891
2022-09-12T21:22:30.000Z, 0.24601299, 7, 893
2022-09-12T21:37:30.000Z, 0.177605387, 7, 891
2022-09-12T21:52:30.000Z, 0.199233705, 7, 896
2022-09-12T22:07:30.000Z, 0.163068428, 7, 757
2022-09-12T22:22:30.000Z, 0.159048871, 7, 753
2022-09-12T22:37:30.000Z, 0.150958343, 7, 821
2022-09-12T22:52:30.000Z, 0.200907552, 7, 768
2022-09-12T23:07:30.000Z, 0.226246429, 7, 896
2022-09-12T23:22:30.000Z, 0.223655257, 7, 894
2022-09-12T23:37:30.000Z, 0.230476201, 7, 895
2022-09-12T23:52:30.000Z, 0.264860491, 7, 896
2022-09-13T00:07:30.000Z, 0.253558166, 7, 894
2022-09-13T00:22:30.000Z, 0.240027933, 7, 895
2022-09-13T00:37:30.000Z, 0.234978994, 7, 895
2022-09-13T00:52:30.000Z, 0.247818304, 7, 896
2022-09-13T01:07:30.000Z, 0.260139441, 7, 895
2022-09-13T01:22:30.000Z, 0.297373184, 7, 895
2022-09-13T01:37:30.000Z, 0.248496089, 7, 895
2022-09-13T01:52:30.000Z, 0.266356201, 7, 895
2022-09-13T02:07:30.000Z, 0.225365324, 7, 894
2022-09-13T02:22:30.000Z, 0.261595521, 7, 893
2022-09-13T02:37:30.000Z, 0.24859486, 7, 895
2022-09-13T02:52:30.000Z, 0.33866532, 7, 891
2022-09-13T03:07:30.000Z, 0.280288143, 7, 894
2022-09-13T03:22:30.000Z, 0.23608058, 7, 896
2022-09-13T03:37:30.000Z, 0.227141229, 7, 895
2022-09-13T03:52:30.000Z, 0.223672707, 7, 894
2022-09-13T04:07:30.000Z, 0.218060112, 7, 895
2022-09-13T04:22:30.000Z, 0.222913647, 7, 894
2022-09-13T04:37:30.000Z, 0.218394183, 7, 894
2022-09-13T04:52:30.000Z, 0.231431955, 7, 895
2022-09-13T05:07:30.000Z, 0.24374417, 7, 892
2022-09-13T05:22:30.000Z, 0.230011397, 7, 895
2022-09-13T05:37:30.000Z, 0.254826145, 7, 895
2022-09-13T05:52:30.000Z, 0.290372067, 7, 895
2022-09-13T06:07:30.000Z, 0.264467933, 7, 895
2022-09-13T06:22:30.000Z, 0.272576339, 7, 896
2022-09-13T06:37:30.000Z, 0.274289832, 7, 895
2022-09-13T06:52:30.000Z, 0.236838746, 7, 893
2022-09-13T07:07:30.000Z, 0.223835307, 7, 895
2022-09-13T07:22:30.000Z, 0.252514094, 7, 894
2022-09-13T07:37:30.000Z, 0.284088492, 7, 895
2022-09-13T07:52:30.000Z, 0.262245587, 7, 895
2022-09-13T08:07:30.000Z, 0.269739821, 7, 894
2022-09-13T08:22:30.000Z, 0.245010056, 7, 895
2022-09-13T08:37:30.000Z, 0.24695949, 7, 706
2022-09-13T08:52:30.000Z, 0.254686704, 7, 895
2022-09-13T09:07:30.000Z, 0.279327151, 7, 895
2022-09-13T09:22:30.000Z, 0.262820536, 7, 896
2022-09-13T09:37:30.000Z, 0.248112626, 7, 895
2022-09-13T09:52:30.000Z, 0.255122458, 7, 895
