## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2025-06-21T19:50:22.859Z  / File Creation Date = Date for Citation
#CITATION1: "Ocean Networks Canada Society. 2012. Cambridge Bay Water Quality Monitor Deployed 2012-10-02. Ocean Networks Canada Society. https://doi.org/10.34943/d1411630-2b5e-418d-b9ca-7f78af5b26b0. Subset Query: 31177893. Accessed 2025-06-21."  / Citation Title
#CITATION2: "Ocean Networks Canada Society. 2013. Cambridge Bay Water Quality Monitor Deployed 2013-09-03. Ocean Networks Canada Society. https://doi.org/10.34943/511f07f7-236c-4573-8146-6e6994d10bed. Subset Query: 31177894. Accessed 2025-06-21."  / Citation Title
#METADATF:  CambridgeBay_UnderwaterNetwork_WaterQualityMonitor_PracticalSalinity_20121006T043000Z_20140916T060000Z-NaN_clean_avg15minute_CSV_META.xml  / Metadata file name
#SEARCHID:  50649288                             / DMAS Search ID from Oceans3.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Arctic-CambridgeBay-UnderwaterNetwork  / Station Name 
#STNCODE:   CBYIP                                / Station Code 
#LATITUDE:     69.113860                         / Latitude North
#LONGITUDE:  -105.060580                         / Longitude East
#DEPTH:         6.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DEVCAT: Water Quality Monitor                   / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2012-10-06T04:15:12.000Z             / Device 1 Deployment Date
#DEVNAME1: "WET Labs Water Quality Monitor 233"  / Device Name of Device 1
#DEVCODE1:  WETLABSWQM233                        / Device Code of Device 1
#DEVID1:    13200                                / Device ID of Device 1
#
#DEPLDATE2: 2013-09-03T02:18:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "WET Labs Water Quality Monitor 196"  / Device Name of Device 2
#DEVCODE2:  WETLABSWQM196                        / Device Code of Device 2
#DEVID2:    9001                                 / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DATEFROM:  2012-10-06T04:30:00.000Z             / Data Start Time
#DATETO:    2014-09-16T06:00:00.000Z             / Data End Time
#PERIODTOT: 2                                    / Number of Sample Periods
#PERIODST1: 2010-11-19T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#PERIODST2: 2012-04-30T00:00:00.000Z             / Sample Period 2 Start Time
#PERIOD2:   1                                    / Sensor Sample Period 2 (s)
#RESAMPPRD: 900                                  / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 55952                                / Samples in File
#TOTSMPEXP: 68166                                / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Practical Salinity (psu)", "Practical Salinity QC Flag", "Practical Salinity Count"
## END HEADER
2012-10-06T04:37:30.000Z, 26.810103333, 7, 900
2012-10-06T04:52:30.000Z, 26.809692222, 7, 900
2012-10-06T05:07:30.000Z, 26.807408889, 7, 900
2012-10-06T05:22:30.000Z, NaN, 6, 600
2012-10-06T05:37:30.000Z, 26.79565, 7, 900
2012-10-06T05:52:30.000Z, 26.788984444, 7, 900
2012-10-06T06:07:30.000Z, 26.786086667, 7, 900
2012-10-06T06:22:30.000Z, NaN, 6, 600
2012-10-06T06:37:30.000Z, 26.777441111, 7, 900
2012-10-06T06:52:30.000Z, 26.778154444, 7, 900
2012-10-06T07:07:30.000Z, 26.775974444, 7, 900
2012-10-06T07:22:30.000Z, NaN, 6, 600
2012-10-06T07:37:30.000Z, 26.773113333, 7, 900
2012-10-06T07:52:30.000Z, 26.767193333, 7, 900
2012-10-06T08:07:30.000Z, 26.764928889, 7, 900
2012-10-06T08:22:30.000Z, NaN, 6, 600
2012-10-06T08:37:30.000Z, 26.750333333, 7, 900
2012-10-06T08:52:30.000Z, 26.750286667, 7, 900
2012-10-06T09:07:30.000Z, 26.749077778, 7, 900
2012-10-06T09:22:30.000Z, NaN, 6, 599
2012-10-06T09:37:30.000Z, 26.760375556, 7, 900
2012-10-06T09:52:30.000Z, 26.787955556, 7, 900
2012-10-06T10:07:30.000Z, 26.808628889, 7, 900
2012-10-06T10:22:30.000Z, NaN, 6, 601
2012-10-06T10:37:30.000Z, 26.821578889, 7, 900
2012-10-06T10:52:30.000Z, 26.826797778, 7, 900
2012-10-06T11:07:30.000Z, 26.829963333, 7, 900
2012-10-06T11:22:30.000Z, NaN, 6, 600
2012-10-06T11:37:30.000Z, 26.825544444, 7, 900
2012-10-06T11:52:30.000Z, 26.82956, 7, 900
2012-10-06T12:07:30.000Z, 26.825182222, 7, 900
2012-10-06T12:22:30.000Z, NaN, 6, 600
2012-10-06T12:37:30.000Z, 26.82563, 7, 900
2012-10-06T12:52:30.000Z, 26.826274444, 7, 900
2012-10-06T13:07:30.000Z, 26.826934444, 7, 900
2012-10-06T13:22:30.000Z, NaN, 6, 600
2012-10-06T13:37:30.000Z, 26.822745556, 7, 900
2012-10-06T13:52:30.000Z, 26.819996667, 7, 900
2012-10-06T14:07:30.000Z, 26.818666667, 7, 900
2012-10-06T14:22:30.000Z, NaN, 6, 600
2012-10-06T14:37:30.000Z, 26.816686667, 7, 900
2012-10-06T14:52:30.000Z, 26.81446, 7, 900
2012-10-06T15:07:30.000Z, 26.813513333, 7, 900
2012-10-06T15:22:30.000Z, NaN, 6, 600
2012-10-06T15:37:30.000Z, 26.812685556, 7, 900
2012-10-06T15:52:30.000Z, 26.811784444, 7, 900
2012-10-06T16:07:30.000Z, 26.810647778, 7, 900
2012-10-06T16:22:30.000Z, NaN, 6, 600
2012-10-06T16:37:30.000Z, 26.807993333, 7, 900
2012-10-06T16:52:30.000Z, 26.803598443, 7, 899
2012-10-06T17:07:30.000Z, 26.795376667, 7, 900
2012-10-06T17:22:30.000Z, NaN, 6, 600
2012-10-06T17:37:30.000Z, 26.758827778, 7, 900
2012-10-06T17:52:30.000Z, 26.750932222, 7, 900
2012-10-06T18:07:30.000Z, 26.770788889, 7, 900
2012-10-06T18:22:30.000Z, NaN, 6, 600
2012-10-06T18:37:30.000Z, 26.806138889, 7, 900
2012-10-06T18:52:30.000Z, 26.806213333, 7, 900
2012-10-06T19:07:30.000Z, 26.802573333, 7, 900
2012-10-06T19:22:30.000Z, NaN, 6, 600
2012-10-06T19:37:30.000Z, 26.791563333, 7, 900
2012-10-06T19:52:30.000Z, 26.77733, 7, 900
2012-10-06T20:07:30.000Z, 26.764402222, 7, 900
2012-10-06T20:22:30.000Z, NaN, 6, 600
2012-10-06T20:37:30.000Z, 26.791001111, 7, 900
2012-10-06T20:52:30.000Z, 26.793427778, 7, 900
2012-10-06T21:07:30.000Z, 26.794677778, 7, 900
2012-10-06T21:22:30.000Z, NaN, 6, 600
2012-10-06T21:37:30.000Z, 26.776896667, 7, 900
2012-10-06T21:52:30.000Z, 26.781857778, 7, 900
2012-10-06T22:07:30.000Z, 26.785338889, 7, 900
2012-10-06T22:22:30.000Z, NaN, 6, 600
2012-10-06T22:37:30.000Z, 26.803193333, 7, 900
2012-10-06T22:52:30.000Z, 26.803303333, 7, 900
2012-10-06T23:07:30.000Z, 26.800451111, 7, 900
2012-10-06T23:22:30.000Z, NaN, 6, 600
2012-10-06T23:37:30.000Z, 26.807554444, 7, 900
2012-10-06T23:52:30.000Z, 26.814385556, 7, 900
2012-10-07T00:07:30.000Z, 26.814843333, 7, 900
2012-10-07T00:22:30.000Z, NaN, 6, 600
2012-10-07T00:37:30.000Z, 26.801435556, 7, 900
2012-10-07T00:52:30.000Z, 26.797554444, 7, 900
2012-10-07T01:07:30.000Z, 26.796021111, 7, 900
2012-10-07T01:22:30.000Z, NaN, 6, 600
