## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2025-06-21T19:50:23.331Z  / File Creation Date = Date for Citation
#CITATION1: "Ocean Networks Canada Society. 2012. Cambridge Bay Water Quality Monitor Deployed 2012-10-02. Ocean Networks Canada Society. https://doi.org/10.34943/d1411630-2b5e-418d-b9ca-7f78af5b26b0. Subset Query: 31177900. Accessed 2025-06-21."  / Citation Title
#CITATION2: "Ocean Networks Canada Society. 2013. Cambridge Bay Water Quality Monitor Deployed 2013-09-03. Ocean Networks Canada Society. https://doi.org/10.34943/511f07f7-236c-4573-8146-6e6994d10bed. Subset Query: 31177899. Accessed 2025-06-21."  / Citation Title
#METADATF:  CambridgeBay_UnderwaterNetwork_WaterQualityMonitor_Sigma-theta0dbar_20121006T043000Z_20140916T060000Z-NaN_clean_avg15minute_CSV_META.xml  / Metadata file name
#SEARCHID:  50649291                             / DMAS Search ID from Oceans3.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Arctic-CambridgeBay-UnderwaterNetwork  / Station Name 
#STNCODE:   CBYIP                                / Station Code 
#LATITUDE:     69.113860                         / Latitude North
#LONGITUDE:  -105.060580                         / Longitude East
#DEPTH:         6.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DEVCAT: Water Quality Monitor                   / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2012-10-06T04:15:12.000Z             / Device 1 Deployment Date
#DEVNAME1: "WET Labs Water Quality Monitor 233"  / Device Name of Device 1
#DEVCODE1:  WETLABSWQM233                        / Device Code of Device 1
#DEVID1:    13200                                / Device ID of Device 1
#
#DEPLDATE2: 2013-09-03T02:18:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "WET Labs Water Quality Monitor 196"  / Device Name of Device 2
#DEVCODE2:  WETLABSWQM196                        / Device Code of Device 2
#DEVID2:    9001                                 / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DATEFROM:  2012-10-06T04:30:00.000Z             / Data Start Time
#DATETO:    2014-09-16T06:00:00.000Z             / Data End Time
#PERIODTOT: 2                                    / Number of Sample Periods
#PERIODST1: 2010-11-19T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#PERIODST2: 2012-04-30T00:00:00.000Z             / Sample Period 2 Start Time
#PERIOD2:   1                                    / Sensor Sample Period 2 (s)
#RESAMPPRD: 900                                  / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 55952                                / Samples in File
#TOTSMPEXP: 68166                                / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Sigma-theta (0 dbar) (kg/m3)", "Sigma-theta (0 dbar) QC Flag", "Sigma-theta (0 dbar) Count"
## END HEADER
2012-10-06T04:37:30.000Z, 21.389936181, 7, 900
2012-10-06T04:52:30.000Z, 21.389353953, 7, 900
2012-10-06T05:07:30.000Z, 21.387441659, 7, 900
2012-10-06T05:22:30.000Z, NaN, 6, 600
2012-10-06T05:37:30.000Z, 21.378889408, 7, 900
2012-10-06T05:52:30.000Z, 21.374097764, 7, 900
2012-10-06T06:07:30.000Z, 21.372146616, 7, 900
2012-10-06T06:22:30.000Z, NaN, 6, 600
2012-10-06T06:37:30.000Z, 21.366597276, 7, 900
2012-10-06T06:52:30.000Z, 21.368619358, 7, 900
2012-10-06T07:07:30.000Z, 21.368391475, 7, 900
2012-10-06T07:22:30.000Z, NaN, 6, 600
2012-10-06T07:37:30.000Z, 21.364670286, 7, 900
2012-10-06T07:52:30.000Z, 21.360762378, 7, 900
2012-10-06T08:07:30.000Z, 21.359157986, 7, 900
2012-10-06T08:22:30.000Z, NaN, 6, 600
2012-10-06T08:37:30.000Z, 21.350950153, 7, 900
2012-10-06T08:52:30.000Z, 21.349956117, 7, 900
2012-10-06T09:07:30.000Z, 21.348126828, 7, 900
2012-10-06T09:22:30.000Z, NaN, 6, 599
2012-10-06T09:37:30.000Z, 21.35644389, 7, 900
2012-10-06T09:52:30.000Z, 21.375169966, 7, 900
2012-10-06T10:07:30.000Z, 21.39043625, 7, 900
2012-10-06T10:22:30.000Z, NaN, 6, 601
2012-10-06T10:37:30.000Z, 21.400438717, 7, 900
2012-10-06T10:52:30.000Z, 21.404231126, 7, 900
2012-10-06T11:07:30.000Z, 21.406478037, 7, 900
2012-10-06T11:22:30.000Z, NaN, 6, 600
2012-10-06T11:37:30.000Z, 21.403199002, 7, 900
2012-10-06T11:52:30.000Z, 21.406178543, 7, 900
2012-10-06T12:07:30.000Z, 21.403066614, 7, 900
2012-10-06T12:22:30.000Z, NaN, 6, 600
2012-10-06T12:37:30.000Z, 21.402604652, 7, 900
2012-10-06T12:52:30.000Z, 21.403195906, 7, 900
2012-10-06T13:07:30.000Z, 21.403805057, 7, 900
2012-10-06T13:22:30.000Z, NaN, 6, 600
2012-10-06T13:37:30.000Z, 21.400816509, 7, 900
2012-10-06T13:52:30.000Z, 21.398756622, 7, 900
2012-10-06T14:07:30.000Z, 21.397926082, 7, 900
2012-10-06T14:22:30.000Z, NaN, 6, 600
2012-10-06T14:37:30.000Z, 21.396598828, 7, 900
2012-10-06T14:52:30.000Z, 21.395014657, 7, 900
2012-10-06T15:07:30.000Z, 21.394206502, 7, 900
2012-10-06T15:22:30.000Z, NaN, 6, 600
2012-10-06T15:37:30.000Z, 21.393492099, 7, 900
2012-10-06T15:52:30.000Z, 21.3928979, 7, 900
2012-10-06T16:07:30.000Z, 21.3919985, 7, 900
2012-10-06T16:22:30.000Z, NaN, 6, 600
2012-10-06T16:37:30.000Z, 21.389614213, 7, 900
2012-10-06T16:52:30.000Z, 21.386053104, 7, 899
2012-10-06T17:07:30.000Z, 21.380255563, 7, 900
2012-10-06T17:22:30.000Z, NaN, 6, 600
2012-10-06T17:37:30.000Z, 21.358369858, 7, 900
2012-10-06T17:52:30.000Z, 21.353749262, 7, 900
2012-10-06T18:07:30.000Z, 21.364208729, 7, 900
2012-10-06T18:22:30.000Z, NaN, 6, 600
2012-10-06T18:37:30.000Z, 21.387717601, 7, 900
2012-10-06T18:52:30.000Z, 21.387583967, 7, 900
2012-10-06T19:07:30.000Z, 21.384644985, 7, 900
2012-10-06T19:22:30.000Z, NaN, 6, 600
2012-10-06T19:37:30.000Z, 21.37758678, 7, 900
2012-10-06T19:52:30.000Z, 21.367583784, 7, 900
2012-10-06T20:07:30.000Z, 21.359113652, 7, 900
2012-10-06T20:22:30.000Z, NaN, 6, 600
2012-10-06T20:37:30.000Z, 21.375740122, 7, 900
2012-10-06T20:52:30.000Z, 21.376895016, 7, 900
2012-10-06T21:07:30.000Z, 21.377826678, 7, 900
