## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2025-06-06T02:31:56.083Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Society. 2001. Tsawwassen - Swartz Bay Ferry Route Thermosalinograph Deployed 2001-03-22. Ocean Networks Canada Society. Subset Query: 30975486. Accessed 2025-06-06."  / Citation Title
#METADATF:  No Metadata File generated           / Metadata file name
#SEARCHID:  50338060                             / DMAS Search ID from Oceans3.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DEPLDATE: 2011-02-11T00:00:00.000Z              / Station Deployment Date 
#STNNAME:   OceanNetworksCanada-MobilePlatforms-BritishColumbiaFerries-Tsawwassen-SwartzBayFerryRoute  / Station Name 
#STNCODE:   TWSB                                 / Station Code 
#LATITUDE:    "48.689140 to 49.006900"           / Latitude North
#LONGITUDE: "-123.447400 to -123.120240"         / Longitude East
#DEPTH:         3.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DEVCAT: Thermosalinograph                       / Device Category
#DEVNAME: "Sea-Bird Thermosalinograph 21 (SN 3103)"  / Device Name
#DEVCODE:  SBETSG21-3103                         / Device Code
#DEVID:    22796                                 / Device ID
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DATEFROM:  2011-02-11T19:00:00.000Z             / Data Start Time
#DATETO:    2011-04-10T06:15:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2001-03-22T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   30                                   / Sensor Sample Period 1 (s)
#RESAMPPRD: 900                                  / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 5513                                 / Samples in File
#TOTSMPEXP: 5517                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  WARNING: temporal resampling may not be appropriate for spatial / mobile data.  / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Conductivity (S/m)", "Conductivity QC Flag", "Conductivity Count", "Latitude (deg)", "Latitude QC Flag", "Latitude Count", "Longitude (deg)", "Longitude QC Flag", "Longitude Count"
## END HEADER
2011-02-11T19:07:30.000Z, NaN, 4, 0, NaN, 6, 16, NaN, 6, 16
2011-02-11T19:22:30.000Z, NaN, 4, 0, 48.689964, 7, 30, -123.412127333, 7, 30
2011-02-11T19:37:30.000Z, NaN, 4, 0, 48.689941333, 7, 30, -123.412227333, 7, 30
2011-02-11T19:52:30.000Z, NaN, 4, 0, 48.689922, 7, 30, -123.412317333, 7, 30
2011-02-11T20:07:30.000Z, NaN, 6, 20, 48.706154667, 7, 30, -123.425874667, 7, 30
2011-02-11T20:22:30.000Z, 3.111515367, 7, 30, 48.758352, 7, 30, -123.371132667, 7, 30
2011-02-11T20:37:30.000Z, 3.106577733, 7, 30, 48.827419333, 7, 30, -123.346599333, 7, 30
2011-02-11T20:52:30.000Z, 3.098453333, 7, 30, 48.871078667, 7, 30, -123.307500667, 7, 30
2011-02-11T21:07:30.000Z, 2.9579093, 7, 30, 48.924486, 7, 30, -123.227337333, 7, 30
2011-02-11T21:22:30.000Z, 2.815407267, 7, 30, 48.982752667, 7, 30, -123.153006, 7, 30
2011-02-11T21:37:30.000Z, 2.9267042, 7, 30, 49.006222, 7, 30, -123.134322667, 7, 30
2011-02-11T21:52:30.000Z, 3.0443659, 7, 30, 49.006264, 7, 30, -123.134343333, 7, 30
2011-02-11T22:07:30.000Z, 3.037326933, 7, 30, 48.998448667, 7, 30, -123.145644667, 7, 30
2011-02-11T22:22:30.000Z, 2.786149167, 7, 30, 48.9502, 7, 30, -123.213945333, 7, 30
2011-02-11T22:37:30.000Z, 2.774226833, 7, 30, 48.890084667, 7, 30, -123.288382667, 7, 30
2011-02-11T22:52:30.000Z, 2.956526333, 7, 30, 48.838012, 7, 30, -123.34465, 7, 30
2011-02-11T23:07:30.000Z, 3.081178433, 7, 30, 48.759807333, 7, 30, -123.34694, 7, 30
2011-02-11T23:22:30.000Z, 3.102069367, 7, 30, 48.696925333, 7, 30, -123.384548, 7, 30
2011-02-11T23:37:30.000Z, 3.123110367, 7, 30, 48.689875333, 7, 30, -123.412364, 7, 30
2011-02-11T23:52:30.000Z, 3.138385967, 7, 30, 48.689894667, 7, 30, -123.412344667, 7, 30
2011-02-12T00:07:30.000Z, 3.1395927, 7, 30, 48.705211333, 7, 30, -123.425902667, 7, 30
2011-02-12T00:22:30.000Z, 3.120921233, 7, 30, 48.755606667, 7, 30, -123.372654667, 7, 30
2011-02-12T00:37:30.000Z, 3.123576133, 7, 30, 48.825180667, 7, 30, -123.346144667, 7, 30
2011-02-12T00:52:30.000Z, 3.114119933, 7, 30, 48.875623333, 7, 30, -123.301275333, 7, 30
2011-02-12T01:07:30.000Z, 2.931152433, 7, 30, 48.929317333, 7, 30, -123.224116667, 7, 30
2011-02-12T01:22:30.000Z, 2.613128433, 7, 30, 48.984520667, 7, 30, -123.155218, 7, 30
2011-02-12T01:37:30.000Z, 2.864046867, 7, 30, 49.006226, 7, 30, -123.134440667, 7, 30
2011-02-12T01:52:30.000Z, 2.978326467, 7, 30, 49.006306667, 7, 30, -123.134293333, 7, 30
