## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2025-06-06T02:19:29.463Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Society. 2017. ONC Integration Testing Turbidity, Chlorophyll and Fluorescence Deployed 2017-11-15. Ocean Networks Canada Society. Subset Query: 30975482. Accessed 2025-06-06."  / Citation Title
#METADATF:  _20171115T224500Z_20171120T170000Z-NaN_clean_avg15minute_CSV_META.xml  / Metadata file name
#SEARCHID:  50338053                             / DMAS Search ID from Oceans3.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DEPLDATE: 2017-11-15T22:32:33.000Z              / Station Deployment Date 
#STNNAME:   ONCHeadquarters-MarineTechnologyCentre-ONCIntegrationTesting  / Station Name 
#STNCODE:   ONC Integration Testing              / Station Code 
#LATITUDE:     48.649498                         / Latitude North
#LONGITUDE:  -123.445473                         / Longitude East
#DEPTH:       -20.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DEVCAT: Turbidity, Chlorophyll and Fluorescence  / Device Category
#DEVNAME: "WET Labs ECO Triplet BBFL2 1053"      / Device Name
#DEVCODE:  WLTRIPLETBBFL1053                     / Device Code
#DEVID:    23139                                 / Device ID
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DATEFROM:  2017-11-15T22:45:00.000Z             / Data Start Time
#DATETO:    2017-11-20T17:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2017-06-22T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#RESAMPPRD: 900                                  / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 456                                  / Samples in File
#TOTSMPEXP: 457                                  / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "CDOM Fluorescence (ppb)", "CDOM Fluorescence QC Flag", "CDOM Fluorescence Count"
## END HEADER
2017-11-15T22:52:30.000Z, NaN, 6, 452
2017-11-15T23:07:30.000Z, 6.725659237, 7, 839
2017-11-15T23:22:30.000Z, 6.727709178, 7, 839
2017-11-15T23:37:30.000Z, 6.720491169, 7, 838
2017-11-15T23:52:30.000Z, 6.740204052, 7, 839
2017-11-16T00:07:30.000Z, 6.732004291, 7, 839
2017-11-16T00:22:30.000Z, 6.711895352, 7, 839
2017-11-16T00:37:30.000Z, 6.730247199, 7, 839
2017-11-16T00:52:30.000Z, 6.732980453, 7, 839
2017-11-16T01:07:30.000Z, 6.752352029, 7, 838
2017-11-16T01:22:30.000Z, 6.74283969, 7, 839
2017-11-16T01:37:30.000Z, 6.742351609, 7, 839
2017-11-16T01:52:30.000Z, 6.742742074, 7, 839
2017-11-16T02:07:30.000Z, 6.730247199, 7, 839
2017-11-16T02:22:30.000Z, 6.751429917, 7, 839
2017-11-16T02:37:30.000Z, 6.739549045, 7, 838
2017-11-16T02:52:30.000Z, 6.759434446, 7, 839
2017-11-16T03:07:30.000Z, 6.752406079, 7, 839
2017-11-16T03:22:30.000Z, 6.751722765, 7, 839
2017-11-16T03:37:30.000Z, 6.763046246, 7, 839
2017-11-16T03:52:30.000Z, 6.751570167, 7, 838
2017-11-16T04:07:30.000Z, 6.758067819, 7, 839
2017-11-16T04:22:30.000Z, 6.774564958, 7, 839
2017-11-16T04:37:30.000Z, 6.768122288, 7, 839
2017-11-16T04:52:30.000Z, 6.782569487, 7, 839
2017-11-16T05:07:30.000Z, 6.772807867, 7, 839
2017-11-16T05:22:30.000Z, 6.79154284, 7, 838
2017-11-16T05:37:30.000Z, 6.792526341, 7, 839
2017-11-16T05:52:30.000Z, 6.810487723, 7, 839
2017-11-16T06:07:30.000Z, 6.801702265, 7, 839
2017-11-16T06:22:30.000Z, 6.804728367, 7, 839
2017-11-16T06:37:30.000Z, 6.810975805, 7, 839
2017-11-16T06:52:30.000Z, 6.821937709, 7, 838
2017-11-16T07:07:30.000Z, 6.81174, 7, 840
2017-11-16T07:22:30.000Z, 6.812049583, 7, 839
2017-11-16T07:37:30.000Z, 6.828253874, 7, 839
2017-11-16T07:52:30.000Z, 6.826594398, 7, 839
2017-11-16T08:07:30.000Z, 6.831475209, 7, 839
2017-11-16T08:22:30.000Z, 6.83479416, 7, 839
2017-11-16T08:37:30.000Z, 6.837039333, 7, 839
2017-11-16T08:52:30.000Z, 6.850412753, 7, 839
2017-11-16T09:07:30.000Z, 6.828058641, 7, 839
2017-11-16T09:22:30.000Z, 6.838308343, 7, 839
2017-11-16T09:37:30.000Z, 6.846703337, 7, 839
2017-11-16T09:52:30.000Z, 6.851291299, 7, 839
2017-11-16T10:07:30.000Z, 6.855879261, 7, 839
2017-11-16T10:22:30.000Z, 6.8607825, 7, 840
2017-11-16T10:37:30.000Z, 6.869935995, 7, 839
2017-11-16T10:52:30.000Z, 6.8759882, 7, 839
2017-11-16T11:07:30.000Z, 6.873254946, 7, 839
2017-11-16T11:22:30.000Z, 6.870912157, 7, 839
2017-11-16T11:37:30.000Z, 6.878135757, 7, 839
2017-11-16T11:52:30.000Z, 6.878916687, 7, 839
2017-11-16T12:07:30.000Z, 6.884773659, 7, 839
2017-11-16T12:22:30.000Z, 6.884090346, 7, 839
2017-11-16T12:37:30.000Z, 6.883602265, 7, 839
2017-11-16T12:52:30.000Z, 6.90380882, 7, 839
2017-11-16T13:07:30.000Z, 6.897756615, 7, 839
2017-11-16T13:22:30.000Z, 6.924015375, 7, 839
2017-11-16T13:37:30.000Z, 6.90302789, 7, 839
2017-11-16T13:52:30.000Z, 6.919720262, 7, 839
2017-11-16T14:07:30.000Z, 6.915717998, 7, 839
2017-11-16T14:22:30.000Z, 6.920403576, 7, 839
2017-11-16T14:37:30.000Z, 6.929286651, 7, 839
2017-11-16T14:52:30.000Z, 6.933581764, 7, 839
2017-11-16T15:07:30.000Z, 6.939633969, 7, 839
2017-11-16T15:22:30.000Z, 6.928212872, 7, 839
2017-11-16T15:37:30.000Z, 6.917084625, 7, 839
2017-11-16T15:52:30.000Z, 6.915327533, 7, 839
2017-11-16T16:07:30.000Z, 6.895999523, 7, 839
2017-11-16T16:22:30.000Z, 6.882333254, 7, 839
2017-11-16T16:37:30.000Z, 6.879404768, 7, 839
2017-11-16T16:52:30.000Z, 6.857343504, 7, 839
2017-11-16T17:07:30.000Z, 6.834891776, 7, 839
2017-11-16T17:22:30.000Z, 6.8368441, 7, 839
2017-11-16T17:37:30.000Z, 6.822201669, 7, 839
2017-11-16T17:52:30.000Z, 6.802190346, 7, 839
2017-11-16T18:07:30.000Z, 6.790183552, 7, 839
2017-11-16T18:22:30.000Z, 6.779130788, 7, 838
2017-11-16T18:37:30.000Z, 6.768805602, 7, 839
2017-11-16T18:52:30.000Z, 6.770757926, 7, 839
2017-11-16T19:07:30.000Z, 6.762851013, 7, 839
2017-11-16T19:22:30.000Z, 6.750788305, 7, 838
2017-11-16T19:37:30.000Z, 6.765584267, 7, 839
2017-11-16T19:52:30.000Z, 6.751820381, 7, 839
2017-11-16T20:07:30.000Z, 6.756408343, 7, 839
2017-11-16T20:22:30.000Z, 6.737373182, 7, 839
2017-11-16T20:37:30.000Z, 6.741112768, 7, 838
2017-11-16T20:52:30.000Z, 6.731906675, 7, 839
2017-11-16T21:07:30.000Z, 6.712676281, 7, 839
2017-11-16T21:22:30.000Z, 6.705355066, 7, 839
2017-11-16T21:37:30.000Z, 6.740692133, 7, 839
2017-11-16T21:52:30.000Z, 6.709747795, 7, 839
2017-11-16T22:07:30.000Z, 6.717461456, 7, 838
2017-11-16T22:22:30.000Z, 6.712383433, 7, 839
2017-11-16T22:37:30.000Z, 6.692664958, 7, 839
2017-11-16T22:52:30.000Z, 6.691005483, 7, 839
2017-11-16T23:07:30.000Z, 6.707697855, 7, 839
2017-11-16T23:22:30.000Z, 6.74078975, 7, 839
2017-11-16T23:37:30.000Z, 6.712965752, 7, 838
2017-11-16T23:52:30.000Z, 6.74000882, 7, 839
2017-11-17T00:07:30.000Z, 6.72790441, 7, 839
2017-11-17T00:22:30.000Z, 6.74451528, 7, 733
2017-11-17T00:37:30.000Z, 6.743132539, 7, 839
2017-11-17T00:52:30.000Z, 6.737861263, 7, 839
2017-11-17T01:07:30.000Z, 6.73512801, 7, 839
2017-11-17T01:22:30.000Z, 6.734737545, 7, 839
2017-11-17T01:37:30.000Z, 6.745608473, 7, 838
2017-11-17T01:52:30.000Z, 6.741180215, 7, 839
2017-11-17T02:07:30.000Z, 6.762851013, 7, 839
2017-11-17T02:22:30.000Z, 6.756505959, 7, 839
2017-11-17T02:37:30.000Z, 6.759727294, 7, 839
2017-11-17T02:52:30.000Z, 6.755577208, 7, 838
2017-11-17T03:07:30.000Z, 6.776126818, 7, 839
2017-11-17T03:22:30.000Z, 6.788524076, 7, 839
2017-11-17T03:37:30.000Z, 6.78276472, 7, 839
2017-11-17T03:52:30.000Z, 6.791843027, 7, 839
2017-11-17T04:07:30.000Z, 6.790281168, 7, 839
2017-11-17T04:22:30.000Z, 6.794377088, 7, 838
2017-11-17T04:37:30.000Z, 6.813806675, 7, 839
2017-11-17T04:52:30.000Z, 6.820835042, 7, 839
2017-11-17T05:07:30.000Z, 6.834501311, 7, 839
2017-11-17T05:22:30.000Z, 6.830010965, 7, 839
2017-11-17T05:37:30.000Z, 6.826301549, 7, 839
2017-11-17T05:52:30.000Z, 6.847836874, 7, 838
2017-11-17T06:07:30.000Z, 6.848069964, 7, 839
2017-11-17T06:22:30.000Z, 6.845141478, 7, 839
2017-11-17T06:37:30.000Z, 6.868178903, 7, 839
2017-11-17T06:52:30.000Z, 6.862126698, 7, 839
2017-11-17T07:07:30.000Z, 6.866226579, 7, 839
2017-11-17T07:22:30.000Z, 6.860564839, 7, 839
2017-11-17T07:37:30.000Z, 6.883407032, 7, 839
2017-11-17T07:52:30.000Z, 6.877257211, 7, 839
2017-11-17T08:07:30.000Z, 6.8857425, 7, 840
2017-11-17T08:22:30.000Z, 6.887116448, 7, 839
2017-11-17T08:37:30.000Z, 6.889752086, 7, 839
2017-11-17T08:52:30.000Z, 6.898342312, 7, 839
2017-11-17T09:07:30.000Z, 6.883114184, 7, 839
2017-11-17T09:22:30.000Z, 6.90302789, 7, 839
2017-11-17T09:37:30.000Z, 6.909665793, 7, 839
2017-11-17T09:52:30.000Z, 6.91952503, 7, 839
2017-11-17T10:07:30.000Z, 6.917670322, 7, 839
2017-11-17T10:22:30.000Z, 6.937095948, 7, 839
2017-11-17T10:37:30.000Z, 6.926162932, 7, 839
2017-11-17T10:52:30.000Z, 6.93367938, 7, 839
2017-11-17T11:07:30.000Z, 6.941098212, 7, 839
2017-11-17T11:22:30.000Z, 6.950078903, 7, 839
2017-11-17T11:37:30.000Z, 7.010405721, 7, 839
2017-11-17T11:52:30.000Z, 6.943831466, 7, 839
2017-11-17T12:07:30.000Z, 6.955447795, 7, 839
2017-11-17T12:22:30.000Z, 6.98004708, 7, 839
2017-11-17T12:37:30.000Z, 6.944514779, 7, 839
2017-11-17T12:52:30.000Z, 6.982194636, 7, 839
2017-11-17T13:07:30.000Z, 6.999277473, 7, 839
2017-11-17T13:22:30.000Z, 6.980242312, 7, 839
2017-11-17T13:37:30.000Z, 6.981706555, 7, 839
2017-11-17T13:52:30.000Z, 7.006891538, 7, 839
2017-11-17T14:07:30.000Z, 6.99738, 7, 840
2017-11-17T14:22:30.000Z, 7.013822288, 7, 839
2017-11-17T14:37:30.000Z, 7.020167342, 7, 839
2017-11-17T14:52:30.000Z, 7.018507867, 7, 839
2017-11-17T15:07:30.000Z, 7.01636031, 7, 839
2017-11-17T15:22:30.000Z, 7.02202205, 7, 839
2017-11-17T15:37:30.000Z, 7.010405721, 7, 839
2017-11-17T15:52:30.000Z, 6.998984625, 7, 839
2017-11-17T16:07:30.000Z, 6.989223004, 7, 839
2017-11-17T16:22:30.000Z, 6.967259356, 7, 839
2017-11-17T16:37:30.000Z, 6.949297974, 7, 839
2017-11-17T16:52:30.000Z, 6.936119785, 7, 839
2017-11-17T17:07:30.000Z, 6.912106198, 7, 839
2017-11-17T17:22:30.000Z, 6.90742062, 7, 839
2017-11-17T17:37:30.000Z, 6.875402503, 7, 839
2017-11-17T17:52:30.000Z, 6.884095704, 7, 838
2017-11-17T18:07:30.000Z, 6.884578427, 7, 839
2017-11-17T18:22:30.000Z, 6.858417282, 7, 839
2017-11-17T18:37:30.000Z, 6.82552062, 7, 839
2017-11-17T18:52:30.000Z, 6.847972348, 7, 839
2017-11-17T19:07:30.000Z, 6.829815733, 7, 839
2017-11-17T19:22:30.000Z, 6.815878282, 7, 838
2017-11-17T19:37:30.000Z, 6.802971275, 7, 839
2017-11-17T19:52:30.000Z, 6.808633015, 7, 839
2017-11-17T20:07:30.000Z, 6.791452563, 7, 839
2017-11-17T20:22:30.000Z, 6.783235561, 7, 838
2017-11-17T20:37:30.000Z, 6.782374255, 7, 839
2017-11-17T20:52:30.000Z, 6.782569487, 7, 839
2017-11-17T21:07:30.000Z, 6.772515018, 7, 839
2017-11-17T21:22:30.000Z, 6.760703456, 7, 839
2017-11-17T21:37:30.000Z, 6.771409905, 7, 838
2017-11-17T21:52:30.000Z, 6.777981526, 7, 839
2017-11-17T22:07:30.000Z, 6.77144124, 7, 839
2017-11-17T22:22:30.000Z, 6.745572944, 7, 839
2017-11-17T22:37:30.000Z, 6.731906675, 7, 839
2017-11-17T22:52:30.000Z, 6.76060584, 7, 839
2017-11-17T23:07:30.000Z, 6.757140931, 7, 838
2017-11-17T23:22:30.000Z, 6.759434446, 7, 839
2017-11-17T23:37:30.000Z, 6.758458284, 7, 839
2017-11-17T23:52:30.000Z, 6.745182479, 7, 839
2017-11-18T00:07:30.000Z, 6.737470799, 7, 839
2017-11-18T00:22:30.000Z, 6.755920262, 7, 839
2017-11-18T00:37:30.000Z, 6.714529475, 7, 838
2017-11-18T00:52:30.000Z, 6.73639702, 7, 839
2017-11-18T01:07:30.000Z, 6.723511681, 7, 839
2017-11-18T01:22:30.000Z, 6.828058641, 7, 839
2017-11-18T01:37:30.000Z, 6.886335518, 7, 839
2017-11-18T01:52:30.000Z, 6.901101193, 7, 838
2017-11-18T02:07:30.000Z, 6.968137902, 7, 839
2017-11-18T02:22:30.000Z, 7.032955066, 7, 839
2017-11-18T02:37:30.000Z, 7.024560072, 7, 839
2017-11-18T02:52:30.000Z, 7.051209297, 7, 839
2017-11-18T03:07:30.000Z, 7.05550441, 7, 839
2017-11-18T03:22:30.000Z, 7.082102148, 7, 838
2017-11-18T03:37:30.000Z, 7.11036472, 7, 839
2017-11-18T03:52:30.000Z, 7.130766508, 7, 839
2017-11-18T04:07:30.000Z, 7.14384708, 7, 839
2017-11-18T04:22:30.000Z, 7.158489511, 7, 839
2017-11-18T04:37:30.000Z, 7.175143675, 7, 838
2017-11-18T04:52:30.000Z, 7.188750536, 7, 839
2017-11-18T05:07:30.000Z, 7.196657449, 7, 839
2017-11-18T05:22:30.000Z, 7.203002503, 7, 839
2017-11-18T05:37:30.000Z, 7.215302145, 7, 839
2017-11-18T05:52:30.000Z, 7.236875328, 7, 839
2017-11-18T06:07:30.000Z, 7.236813007, 7, 838
2017-11-18T06:22:30.000Z, 7.267624434, 7, 839
2017-11-18T06:37:30.000Z, 7.26489118, 7, 839
2017-11-18T06:52:30.000Z, 7.288611919, 7, 839
2017-11-18T07:07:30.000Z, 7.290954708, 7, 839
2017-11-18T07:22:30.000Z, 7.313406436, 7, 839
2017-11-18T07:37:30.000Z, 7.315163528, 7, 839
2017-11-18T07:52:30.000Z, 7.330294041, 7, 839
2017-11-18T08:07:30.000Z, 7.34838, 7, 840
2017-11-18T08:22:30.000Z, 7.35528379, 7, 839
2017-11-18T08:37:30.000Z, 7.370023838, 7, 839
2017-11-18T08:52:30.000Z, 7.387594756, 7, 839
2017-11-18T09:07:30.000Z, 7.390816091, 7, 839
2017-11-18T09:22:30.000Z, 7.407996544, 7, 839
2017-11-18T09:37:30.000Z, 7.419905721, 7, 839
2017-11-18T09:52:30.000Z, 7.425176996, 7, 839
2017-11-18T10:07:30.000Z, 7.443138379, 7, 839
2017-11-18T10:22:30.000Z, 7.456999881, 7, 839
2017-11-18T10:37:30.000Z, 7.478670679, 7, 839
2017-11-18T10:52:30.000Z, 7.484722884, 7, 839
2017-11-18T11:07:30.000Z, 7.506784148, 7, 839
2017-11-18T11:22:30.000Z, 7.524257449, 7, 839
2017-11-18T11:37:30.000Z, 7.541047437, 7, 839
2017-11-18T11:52:30.000Z, 7.55822789, 7, 839
2017-11-18T12:07:30.000Z, 7.573065554, 7, 839
2017-11-18T12:22:30.000Z, 7.585853278, 7, 839
2017-11-18T12:37:30.000Z, 7.603424195, 7, 839
