## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2025-06-06T02:19:29.536Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Society. 2017. ONC Integration Testing Turbidity, Chlorophyll and Fluorescence Deployed 2017-11-15. Ocean Networks Canada Society. Subset Query: 30975484. Accessed 2025-06-06."  / Citation Title
#METADATF:  _20171115T224500Z_20171120T170000Z-NaN_clean_avg15minute_CSV_META.xml  / Metadata file name
#SEARCHID:  50338055                             / DMAS Search ID from Oceans3.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DEPLDATE: 2017-11-15T22:32:33.000Z              / Station Deployment Date 
#STNNAME:   ONCHeadquarters-MarineTechnologyCentre-ONCIntegrationTesting  / Station Name 
#STNCODE:   ONC Integration Testing              / Station Code 
#LATITUDE:     48.649498                         / Latitude North
#LONGITUDE:  -123.445473                         / Longitude East
#DEPTH:       -20.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DEVCAT: Turbidity, Chlorophyll and Fluorescence  / Device Category
#DEVNAME: "WET Labs ECO Triplet BBFL2 1053"      / Device Name
#DEVCODE:  WLTRIPLETBBFL1053                     / Device Code
#DEVID:    23139                                 / Device ID
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DATEFROM:  2017-11-15T22:45:00.000Z             / Data Start Time
#DATETO:    2017-11-20T17:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2017-06-22T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#RESAMPPRD: 900                                  / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 456                                  / Samples in File
#TOTSMPEXP: 457                                  / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Chlorophyll (ug/l)", "Chlorophyll QC Flag", "Chlorophyll Count"
## END HEADER
2017-11-15T22:52:30.000Z, NaN, 6, 452
2017-11-15T23:07:30.000Z, 0.147752324, 7, 839
2017-11-15T23:22:30.000Z, 0.148755662, 7, 839
2017-11-15T23:37:30.000Z, 0.148659259, 7, 837
2017-11-15T23:52:30.000Z, 0.147359714, 7, 839
2017-11-16T00:07:30.000Z, 0.150020739, 7, 839
2017-11-16T00:22:30.000Z, 0.146516329, 7, 839
2017-11-16T00:37:30.000Z, 0.148523004, 7, 839
2017-11-16T00:52:30.000Z, 0.148566627, 7, 839
2017-11-16T01:07:30.000Z, 0.148612888, 7, 838
2017-11-16T01:22:30.000Z, 0.148232181, 7, 839
2017-11-16T01:37:30.000Z, 0.14705435, 7, 839
2017-11-16T01:52:30.000Z, 0.148668415, 7, 839
2017-11-16T02:07:30.000Z, 0.14821764, 7, 839
2017-11-16T02:22:30.000Z, 0.149788081, 7, 839
2017-11-16T02:37:30.000Z, 0.14887494, 7, 838
2017-11-16T02:52:30.000Z, 0.150573302, 7, 839
2017-11-16T03:07:30.000Z, 0.149410012, 7, 839
2017-11-16T03:22:30.000Z, 0.149439094, 7, 839
2017-11-16T03:37:30.000Z, 0.149075566, 7, 839
2017-11-16T03:52:30.000Z, 0.150374463, 7, 838
2017-11-16T04:07:30.000Z, 0.151605721, 7, 839
2017-11-16T04:22:30.000Z, 0.150311561, 7, 839
2017-11-16T04:37:30.000Z, 0.150340644, 7, 839
2017-11-16T04:52:30.000Z, 0.151547557, 7, 839
2017-11-16T05:07:30.000Z, 0.149918951, 7, 839
2017-11-16T05:22:30.000Z, 0.15126253, 7, 838
2017-11-16T05:37:30.000Z, 0.151343981, 7, 839
2017-11-16T05:52:30.000Z, 0.15288534, 7, 839
2017-11-16T06:07:30.000Z, 0.151533015, 7, 839
2017-11-16T06:22:30.000Z, 0.151125864, 7, 839
2017-11-16T06:37:30.000Z, 0.151343981, 7, 839
2017-11-16T06:52:30.000Z, 0.153140573, 7, 838
2017-11-16T07:07:30.000Z, 0.151410714, 7, 840
2017-11-16T07:22:30.000Z, 0.152289154, 7, 839
2017-11-16T07:37:30.000Z, 0.15314708, 7, 839
2017-11-16T07:52:30.000Z, 0.152710846, 7, 839
2017-11-16T08:07:30.000Z, 0.153234327, 7, 839
2017-11-16T08:22:30.000Z, 0.153088915, 7, 839
2017-11-16T08:37:30.000Z, 0.153641478, 7, 839
2017-11-16T08:52:30.000Z, 0.152696305, 7, 839
2017-11-16T09:07:30.000Z, 0.153394279, 7, 839
2017-11-16T09:22:30.000Z, 0.153583313, 7, 839
2017-11-16T09:37:30.000Z, 0.152260072, 7, 839
2017-11-16T09:52:30.000Z, 0.152507271, 7, 839
2017-11-16T10:07:30.000Z, 0.153990465, 7, 839
2017-11-16T10:22:30.000Z, 0.152703333, 7, 840
2017-11-16T10:37:30.000Z, 0.154484863, 7, 839
2017-11-16T10:52:30.000Z, 0.153597855, 7, 839
2017-11-16T11:07:30.000Z, 0.15509559, 7, 839
2017-11-16T11:22:30.000Z, 0.153728725, 7, 839
2017-11-16T11:37:30.000Z, 0.154383075, 7, 839
2017-11-16T11:52:30.000Z, 0.153917759, 7, 839
2017-11-16T12:07:30.000Z, 0.155008343, 7, 839
2017-11-16T12:22:30.000Z, 0.155241001, 7, 839
2017-11-16T12:37:30.000Z, 0.154034088, 7, 839
2017-11-16T12:52:30.000Z, 0.157872944, 7, 839
2017-11-16T13:07:30.000Z, 0.155008343, 7, 839
2017-11-16T13:22:30.000Z, 0.155517282, 7, 839
2017-11-16T13:37:30.000Z, 0.156084386, 7, 839
2017-11-16T13:52:30.000Z, 0.154164958, 7, 839
2017-11-16T14:07:30.000Z, 0.155386412, 7, 839
2017-11-16T14:22:30.000Z, 0.157029559, 7, 839
2017-11-16T14:37:30.000Z, 0.155866269, 7, 839
2017-11-16T14:52:30.000Z, 0.155720858, 7, 839
2017-11-16T15:07:30.000Z, 0.156956853, 7, 839
2017-11-16T15:22:30.000Z, 0.155633611, 7, 839
2017-11-16T15:37:30.000Z, 0.155531824, 7, 839
2017-11-16T15:52:30.000Z, 0.154819309, 7, 839
2017-11-16T16:07:30.000Z, 0.155459118, 7, 839
2017-11-16T16:22:30.000Z, 0.155371871, 7, 839
2017-11-16T16:37:30.000Z, 0.155793564, 7, 839
2017-11-16T16:52:30.000Z, 0.155517282, 7, 839
2017-11-16T17:07:30.000Z, 0.154339452, 7, 839
2017-11-16T17:22:30.000Z, 0.155677235, 7, 839
2017-11-16T17:37:30.000Z, 0.154848391, 7, 839
2017-11-16T17:52:30.000Z, 0.152318236, 7, 839
2017-11-16T18:07:30.000Z, 0.153656019, 7, 839
2017-11-16T18:22:30.000Z, 0.153868496, 7, 838
2017-11-16T18:37:30.000Z, 0.152085578, 7, 839
2017-11-16T18:52:30.000Z, 0.15275447, 7, 839
2017-11-16T19:07:30.000Z, 0.154484863, 7, 839
2017-11-16T19:22:30.000Z, 0.153300716, 7, 838
2017-11-16T19:37:30.000Z, 0.152769011, 7, 839
2017-11-16T19:52:30.000Z, 0.153307032, 7, 839
2017-11-16T20:07:30.000Z, 0.152158284, 7, 839
2017-11-16T20:22:30.000Z, 0.150660548, 7, 839
2017-11-16T20:37:30.000Z, 0.150083294, 7, 838
2017-11-16T20:52:30.000Z, 0.152987128, 7, 839
2017-11-16T21:07:30.000Z, 0.150820501, 7, 839
2017-11-16T21:22:30.000Z, 0.152187366, 7, 839
2017-11-16T21:37:30.000Z, 0.152216448, 7, 839
2017-11-16T21:52:30.000Z, 0.151780215, 7, 839
2017-11-16T22:07:30.000Z, 0.151160621, 7, 838
2017-11-16T22:22:30.000Z, 0.151751132, 7, 839
2017-11-16T22:37:30.000Z, 0.150951371, 7, 839
2017-11-16T22:52:30.000Z, 0.148682956, 7, 839
2017-11-16T23:07:30.000Z, 0.152783552, 7, 839
2017-11-16T23:22:30.000Z, 0.152783552, 7, 839
2017-11-16T23:37:30.000Z, 0.152805728, 7, 838
2017-11-16T23:52:30.000Z, 0.154353993, 7, 839
2017-11-17T00:07:30.000Z, 0.152405483, 7, 839
2017-11-17T00:22:30.000Z, 0.151210095, 7, 733
2017-11-17T00:37:30.000Z, 0.151416687, 7, 839
2017-11-17T00:52:30.000Z, 0.152434565, 7, 839
2017-11-17T01:07:30.000Z, 0.151911085, 7, 839
2017-11-17T01:22:30.000Z, 0.152449106, 7, 839
2017-11-17T01:37:30.000Z, 0.151757518, 7, 838
2017-11-17T01:52:30.000Z, 0.153394279, 7, 839
2017-11-17T02:07:30.000Z, 0.152129201, 7, 839
2017-11-17T02:22:30.000Z, 0.152841716, 7, 839
2017-11-17T02:37:30.000Z, 0.153786889, 7, 839
2017-11-17T02:52:30.000Z, 0.154072315, 7, 838
2017-11-17T03:07:30.000Z, 0.152812634, 7, 839
2017-11-17T03:22:30.000Z, 0.152492729, 7, 839
2017-11-17T03:37:30.000Z, 0.153437902, 7, 839
2017-11-17T03:52:30.000Z, 0.152594517, 7, 839
2017-11-17T04:07:30.000Z, 0.153641478, 7, 839
2017-11-17T04:22:30.000Z, 0.153970406, 7, 838
2017-11-17T04:37:30.000Z, 0.154543027, 7, 839
2017-11-17T04:52:30.000Z, 0.154092253, 7, 839
2017-11-17T05:07:30.000Z, 0.155124672, 7, 839
2017-11-17T05:22:30.000Z, 0.155284625, 7, 839
2017-11-17T05:37:30.000Z, 0.154862932, 7, 839
2017-11-17T05:52:30.000Z, 0.155004057, 7, 838
2017-11-17T06:07:30.000Z, 0.156113468, 7, 839
2017-11-17T06:22:30.000Z, 0.156069845, 7, 839
2017-11-17T06:37:30.000Z, 0.156055304, 7, 839
2017-11-17T06:52:30.000Z, 0.154208582, 7, 839
2017-11-17T07:07:30.000Z, 0.154455781, 7, 839
2017-11-17T07:22:30.000Z, 0.157669368, 7, 839
2017-11-17T07:37:30.000Z, 0.155531824, 7, 839
2017-11-17T07:52:30.000Z, 0.157073182, 7, 839
2017-11-17T08:07:30.000Z, 0.156465, 7, 840
2017-11-17T08:22:30.000Z, 0.155677235, 7, 839
2017-11-17T08:37:30.000Z, 0.15470298, 7, 839
2017-11-17T08:52:30.000Z, 0.156578784, 7, 839
2017-11-17T09:07:30.000Z, 0.155837187, 7, 839
2017-11-17T09:22:30.000Z, 0.156273421, 7, 839
2017-11-17T09:37:30.000Z, 0.156738737, 7, 839
2017-11-17T09:52:30.000Z, 0.157465793, 7, 839
2017-11-17T10:07:30.000Z, 0.158018355, 7, 839
2017-11-17T10:22:30.000Z, 0.157233135, 7, 839
2017-11-17T10:37:30.000Z, 0.156840524, 7, 839
2017-11-17T10:52:30.000Z, 0.156709654, 7, 839
2017-11-17T11:07:30.000Z, 0.157465793, 7, 839
