## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2025-06-06T02:19:29.455Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Society. 2017. ONC Integration Testing Turbidity, Chlorophyll and Fluorescence Deployed 2017-11-15. Ocean Networks Canada Society. Subset Query: 30975483. Accessed 2025-06-06."  / Citation Title
#METADATF:  _20171115T224500Z_20171120T170000Z-NaN_clean_avg15minute_CSV_META.xml  / Metadata file name
#SEARCHID:  50338054                             / DMAS Search ID from Oceans3.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DEPLDATE: 2017-11-15T22:32:33.000Z              / Station Deployment Date 
#STNNAME:   ONCHeadquarters-MarineTechnologyCentre-ONCIntegrationTesting  / Station Name 
#STNCODE:   ONC Integration Testing              / Station Code 
#LATITUDE:     48.649498                         / Latitude North
#LONGITUDE:  -123.445473                         / Longitude East
#DEPTH:       -20.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DEVCAT: Turbidity, Chlorophyll and Fluorescence  / Device Category
#DEVNAME: "WET Labs ECO Triplet BBFL2 1053"      / Device Name
#DEVCODE:  WLTRIPLETBBFL1053                     / Device Code
#DEVID:    23139                                 / Device ID
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DATEFROM:  2017-11-15T22:45:00.000Z             / Data Start Time
#DATETO:    2017-11-20T17:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2017-06-22T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#RESAMPPRD: 900                                  / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 456                                  / Samples in File
#TOTSMPEXP: 457                                  / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Turbidity (NTU)", "Turbidity QC Flag", "Turbidity Count"
## END HEADER
2017-11-15T22:52:30.000Z, NaN, 6, 452
2017-11-15T23:07:30.000Z, 2.184396186, 7, 839
2017-11-15T23:22:30.000Z, 2.188351371, 7, 839
2017-11-15T23:37:30.000Z, 2.187148449, 7, 838
2017-11-15T23:52:30.000Z, 2.188380453, 7, 839
2017-11-16T00:07:30.000Z, 2.194633135, 7, 839
2017-11-16T00:22:30.000Z, 2.197454112, 7, 839
2017-11-16T00:37:30.000Z, 2.20053683, 7, 839
2017-11-16T00:52:30.000Z, 2.201874613, 7, 839
2017-11-16T01:07:30.000Z, 2.207879714, 7, 838
2017-11-16T01:22:30.000Z, 2.211500834, 7, 839
2017-11-16T01:37:30.000Z, 2.210337545, 7, 839
2017-11-16T01:52:30.000Z, 2.2128677, 7, 839
2017-11-16T02:07:30.000Z, 2.218596901, 7, 839
2017-11-16T02:22:30.000Z, 2.223104648, 7, 839
2017-11-16T02:37:30.000Z, 2.223428162, 7, 838
2017-11-16T02:52:30.000Z, 2.226681764, 7, 839
2017-11-16T03:07:30.000Z, 2.228775685, 7, 839
2017-11-16T03:22:30.000Z, 2.233748749, 7, 839
2017-11-16T03:37:30.000Z, 2.229822646, 7, 839
2017-11-16T03:52:30.000Z, 2.231813842, 7, 838
2017-11-16T04:07:30.000Z, 2.234708462, 7, 839
2017-11-16T04:22:30.000Z, 2.236947795, 7, 839
2017-11-16T04:37:30.000Z, 2.239623361, 7, 839
2017-11-16T04:52:30.000Z, 2.241019309, 7, 839
2017-11-16T05:07:30.000Z, 2.244102026, 7, 839
2017-11-16T05:22:30.000Z, 2.250536038, 7, 838
2017-11-16T05:37:30.000Z, 2.254600715, 7, 839
2017-11-16T05:52:30.000Z, 2.252681287, 7, 839
2017-11-16T06:07:30.000Z, 2.257916091, 7, 839
2017-11-16T06:22:30.000Z, 2.262889154, 7, 839
2017-11-16T06:37:30.000Z, 2.265099404, 7, 839
2017-11-16T06:52:30.000Z, 2.266346539, 7, 838
2017-11-16T07:07:30.000Z, 2.27236619, 7, 840
2017-11-16T07:22:30.000Z, 2.265855542, 7, 839
2017-11-16T07:37:30.000Z, 2.270421454, 7, 839
2017-11-16T07:52:30.000Z, 2.272108224, 7, 839
2017-11-16T08:07:30.000Z, 2.27257354, 7, 839
2017-11-16T08:22:30.000Z, 2.272282718, 7, 839
2017-11-16T08:37:30.000Z, 2.272340882, 7, 839
2017-11-16T08:52:30.000Z, 2.273824076, 7, 839
2017-11-16T09:07:30.000Z, 2.273271514, 7, 839
2017-11-16T09:22:30.000Z, 2.274289392, 7, 839
2017-11-16T09:37:30.000Z, 2.277284863, 7, 839
2017-11-16T09:52:30.000Z, 2.275074613, 7, 839
2017-11-16T10:07:30.000Z, 2.281327294, 7, 839
2017-11-16T10:22:30.000Z, 2.278582381, 7, 840
2017-11-16T10:37:30.000Z, 2.282461502, 7, 839
2017-11-16T10:52:30.000Z, 2.282519666, 7, 839
